gym_name,address,phone_number
Grotto Climbing & Yoga,9282 Miramar Road San Diego California 92126,8583689826
Gymnastics World,"20914 Nordhoff St. Suite 101, Chatsworth, California. 91311",8187759922
Hangar 18 East Riverside,"2111 Iowa Ave. Unit A, Riverside, California 92507",9517428479
Hangar 18 High Desert,"15315 Cholame Rd, Unit D Victorville California 92392",4423279200
Hangar 18 Long Beach,"2599 East Willow Street Signal Hill, California 90755",5629813200
Hangar 18 Mission Viejo,"23812 Via Fabricante, Suite A4 Mission Viejo, California 92691",9494548043
Hangar 18 Orange,"1547 W Struck Ave Suite A Orange, California 92867",6572820074
Hangar 18 Rancho Cucamonga,"9004 Hyssop Dr. Rancho Cucamonga, California 91730",9094761438
Hangar 18 Riverside,"6935 Arlington Ave, Riverside, California 92503",9513595040
Hangar 18 San Clemente,"1031 Calle Trepadora Unit A, San Clemente, California, 92673",9493880480
Hangar 18 Southbay,"4926 W. Rosecrans Ave, Hawthorne, California 90250",3109733388
Hangar 18 Upland,"256 Stowell Street Suite A, Upland, California",9099315991
Hanger 18 Arcadia,"305 N. Santa Anita Ave., Los Angeles, Arcadia California 91006",6262949111
"High Altitude Fitness, Truckee, CA","11798 Donner Pass Rd, Truckee, California 96161",
Hollywood Boulders,"1107 North Bronson Ave, Los Angeles, California, 90038",3237471000
Humboldt State University Student Recreation Center,"1 Harpst St., Arcata, California 95521",7078264197
Ironworks,"800 Potter Street Berkeley, California 94710",5109819900
Kids Party Central,"327 O'Hair Court, Santa Rosa, California 95407",7075755437
LA Boulders,"1375 E 6Th Street 8, Los Angeles, California, 90021",3234069119
Long Beach Rising,"205 East Anaheim St. Long Beach, California, 90813",5626123008
Mesa Rim - Climbing Academy,"10070 Mesa Rim Rd., San Diego, California, 92121",8588776178
Mesa Rim - Mira Mesa,"10110 Mesa Rim Rd., San Diego, California 92121",8583484593
Mesa Rim - Mission Valley,"405 Camino Del Rio S. San Diego, California 92108",6199081611
Mesa Rim - North City,"285 Industrial St. San Marcos, California 92078",7605931020
Metal Mark,"4042 N. Cedar Ave Fresno, California 93726",5592297900
Mission Cliffs,"2295 Harrison Street, San Francisco, California 94110",4155500515
Mosaic Boulders,"2369 Telegraph Ave, Berkeley, California",
Movement,"100 El Camino Real, Belmont, California 94002",6505913030
Movement,"924 Mason St, San Francisco, California 94129",4156923434
Movement,"18030 Newhope St., Fountain Valley, California 92708",6572015054
Movement Santa Clara,"801 Martin Ave, Santa Clara, California 95050",6693426588
Movement Sunnyvale,"815 Stewart Dr., Sunnyvale, California 94085",4089919090
North of the River,"401 Willow Drive, Bakersfield, California 93308",6613922020
Outback Climbing wall,"University Of California, San Diego, California",8588221996
Pacific Edge Climbing,"104 Bronson Street, #12, Santa Cruz, California 95062",8314549254
Pacific Pipe,"2140 Mandela Pkwy Oakland, California",5104520122
Rock Fitness,"24305 Prielipp Rd #107, Wildomar, California 92595",9516771122
Rocknasium,"720 Olive Drive, Suite S, Davis, California 95616",5307572902
Rockreation,"1300 Logan Ave, Costa Mesa, California 92626",7145567625
Rockreation,"11866 La Grange Ave., Los Angeles, California 90025",3102077199
Rockzilla,"849 Jackson St #5A, Napa, California 94559",7072551500
Sacramento Pipeworks,"116 N. 16Th Street, Sacramento, California",9163410100
Sage to Summit,"312 N. Main St. Bishop, California 93514",7608721756
Sancturary Climbing & Fitness,"1760 Fremont Blvd Unit D2, Seaside, California 93955",8318992595
Santa Barbara Rock Gym,"322 State St, Santa Barbara California 93101",8057703225
Sender One Climbing - LAX,"11220 Hindry Ave., Los Angeles, California 90045",2132792000
Sender One Climbing - SNA,"Mcfadden Place 1441 S. Village Way Santa Ana, California 92705",7148813456
Sender One Climbing Playa Vista,"12775 W Millennium Suite 4-140A, Los Angeles, California 90094",3107766935
Session Climbing,"965 S A St, Santa Rosa, California 95404",
Shasta Basecamp,"308 S. Mt. Shasta Blvd., California",
Shasta Rock Club,"2325 Athens Ave, Redding, California 96001",5306914505
SRC Rock Wall,"800 N. State College Blvd, Fullerton, California 92834",6752787529
Stronghold Echo Park,"1624 W Sunset Blvd, Los Angeles, California 90026",2132657475
Student Recreation Center at CSUB,"9001 Stockdale Hwy. Src 65, Bakersfield, California 93309",6616544386
Team Touchstone Training Facility,"795 Potter Street, Berkeley, California 94710",510981900
Terrain Park Climbing Center,"931 W 5Th St, Chico, California 95928",5308090796
The BoardRoom,"5160 Hollister Ave, Goleta, California 93111",8058188002
The Boulder Field,"8425 Belvedere Ave., Suite 100, Sacramento, California 95826",9163298994
The Gravity Vault - Marin,"440 Smith Ranch Rd, San Rafael, California 94903",4154729344
The Pad,"888 Ricardo Ct, San Luis Obispo, California 93401",8442546287
The Peak of Fremont,"4020 Technology Place, Fremont, California 94538",5106512500
The Pit,"Uc Davis Campus Recreation, 232 Arc - One Shields Avenue, Uc Davis, Davis, California 95616",5307521995
The Post Climbing,"1100 N Fair Oaks Ave, Pasadena, California 91103",6269890121
The Rock Gym,"2599 E. Willow Street, Signal Hill, California 90755",5629813200
The Stronghold Climbing Gym,"650 South Avenue 21, Los Angeles, California 90031",3235057000
The Studio,"396 S 1St St, San Jose, California 95113",4089984000
The Wall,"1210 Keystone Way Unit C Vista, California 92081",7605603424
The Well at Sacramento State,"6000 J Street, Sacramento, California 95819",9162789355
Top Out Climbing Gym,"26332 Ferry Court, Santa Clarita California 91350",6612881813
Torrance South Bay YMCA,"2900 W. Sepulveda Blvd, Torrance, California",3103255885
Touchstone MetalMark,"4042 N. Cedar Ave, Fresno, California 93726",5592297900
TruHold Climbing,"23812 Via Fabricante Suite A4, Mission Viejo, California 92691",9494548043
Twisters Sports,"2639 Terminal Blvd., Mountain View, California 94043",6509675581
UC BERKELEY RSF WALL,N/A,N/A
UCSB,"Ucsb Adventure Programs, Ucsb Recreation Center, Santa Barbara, California 93117",8058933737
University of California - Irvine,"Anteater Recreation Center, 680 California Ave., Irvine, California 92697",9498245346
Verdigo Boulders,"266 E Magnolia Blvd, Burbank, California 91502",8189622377
Vert Rock Gym,"9500 Brimhall Road, Suite 400, Bakersfield, California 93312",6618334000
Vertex Climbing Center,"3358A Coffey Lane, Santa Rosa, California 95403",7075731608
Vertical Hold,"2074 Hancock Street, San Diego, California 92110",6192991124
Vertical Hold,"992 Rancheros Drive, San Marcos, California",7604801429
Vertical Hold Gym,"13026 Stowe Drive, Poway, California 92064",8587489011
Vertical Hold Sport Climbing Inc.,"9580 Distribution Ave., San Diego, California 92121",8585867572
Vital Climbing Gym,"6102 Avenida Encinas, Suite L, Carlsbad, California 92011",7606892651
VITAL Climbing Gym,"29990 Technology Dr #22 Murrieta, California 92563",9512514814
Vital Oceanside,"525 S. Coast Highway, Oceanside, California 92054",7602084544
WREC Climbing Gym,"California State University, Chico, Chico, California 95929",5308985867
ABC Kids Climbing,"1960 32Nd St, Boulder, Colorado 80301",3034435437
Adams State University Climbing Wall,"208 Edgemont Blvd. Alamosa, Colorado 81101",7195877989
Adventure Fitness Athletic Club,"12301 Grant St. #210, Thornton, Colorado 80241",3039202030
Adventure Unlimited Rock Gym,"Buena Vista, Co",7193952468
Airborne Gymnastics,"1861 Boston Ave, Longmont, Colorado 80501-7930",3036843716
Apex Center,"6842 Wadsworth Blvd. Arvada, Colorado 80003",3034259583
Ascent Studio,"2150 Joseph Allen Drive, Fort Collins, Colorado 80525",9709995596
Aspen Recreation Department Red Brick Climbing Gym,"110 E. Hallam Suite #135, Aspen, Colorado 81611",9709205140
Basecamp Bouldering,"480 Main St, Ouray, Colorado 81427",9703180298
Bass Pro Shops,"7970 Northfield Blvd Denver, Colorado 80238",7203853600
Boulder Rec Center - East,"5660 Sioux Dr. Boulder, Colorado 80303",3034414400
Boulder Rock Club and Colorado Mountain School,"2829 Mapleton Ave., Boulder, Colorado 80301",3034472804
Bouldering wall at Spring Valley Center,"Colorado Mountain College, 3000 County Rd 114, Glenwood Springs Colorado 81601",9709478237
Broomfield Recreation Center Climbing Wall,"13201 Lowell Blvd., Broomfield, Colorado 80020",3034606900
Buchanan Park Recreation Center,"32003 Ellingwood Trail, Evergreen, Colorado 80437",3036790889
Carla Madison Recreation Center,"2401 E. Colfax Ave. Denver, Colorado 80206",7208655580
Charles Whitlock Climbing Gym,"1555 Dover St., Lakewood, Colorado 80215",3039874800
CityRock Colorado Springs,"21 N Nevada, Colorado Springs, Colorado 80903",7196349099
CMU Student Recreation Center,"1100 North Avenue, Grand Junction, Colorado 81501",9702481592
Colorado Athletic Training School,"2400 30Th Street, Boulder, Colorado 80301",3039399699
CSU Pueblo Climbing Wall,"2200 Bonforte Blvd, Pueblo, Colorado 81001",7195492091
CSU Rec Center,"951 Meridian Ave, Fort Collins, Colorado 80523",9704916359
Denver Bouldering Club,"2485 W. 2Nd Ave, Unit18, Denver, Colorado 80223",3037098657
Denver Bouldering Club North,"698 W 84Th Ave, Thornton, Colorado 80260",3032423835
Denver Bouldering Club South,"4131 South Natches Court, Unit E Sheridan, Colorado 80110",7206382767
Dino Moves,"120 E 2Nd St, Nederland, Colorado 80466",7205055285
Durango Rec center,"2700 Main Ave, Durango, Colorado 81301",9703757300
Eagle Climbing + Fitness,"700 Chambers Ave. Unit 7 Eagle, Colorado 81631",9703280893
Eastridge Recreation Center,"9568 South University Blvd., Highlands Ranch, Colorado",3037912500
Epic Climbing Gym,"2050 Big Thompson Ave., Po Box 4079, Estes Park, Colorado 80517",9705866548
Erie Community Center,"450 Powers Street, Erie, Colorado 80516",3039262550
Estes Park Mountain Shop,"2050 Big Thompson Ave, Estes Park, Colorado 80517",9705866548
Ft. Lewis College,"North Gym Climbing Wall, Durango, Colorado 81301",9702477293
G1 Climbing + Fitness,"8845 West 116Th Circle Broomfield, Colorado 80021",7205868175
Glenwood Springs Rec Center,"100 Wulfsohn Road Glenwood Springs, Colorado 81601",9703846301
Golden Community Center,"1470 10Th Street, Golden, Colorado 80401",3033848100
Grand Park Community Recreation Center,"1 Main St, Fraser, Colorado 80442",9707268968
Grand Valley Climbing,"611 25 Road Grand Junction, Colorado 81505",9706445821
Gravity Lab,"732 Colorado Rd 233, Durango, Colorado 81301",9702471809
Greeley Downtown Rec Center,"651 10Th Avenue, Greeley, Colorado",9703509400
Grip Bouldering,"716 Scarlet St Grand Junction, Colorado 81505",
Gripstone Climbing and Fitness,"6220 Tutt Blvd, Colorado Springs, Colorado 80923",7195594747
Gunnison Community Center,"200 E. Spencer Ave, Gunnison, Colorado 81230",9706418060
Gypsum Rec Center Climbing Pinnacle,"52 Lundgren Blvd, Gypsum, Colorado 81637",9707778888
Lakeshore Athletic Club,"300 Summit Blvd., Broomfield, Colorado 80021",3037294300
Lakewood Climbing Wall,"1295 S. Reed Street, Lakewood, Colorado",3039875411
Lifetime Fitness,"9250 Crown Crest Blvd, Parker, Colorado 80138",7208420800
Longmont Climbing Collective,"155 Pinnacle Street, Longmont, Colorado",7203403640
Longmont Recreation Center,"310 Quail Rd., Longmont, Colorado",3037744800
Miramont North,1800 Heath Pkwy. Fort Collins Colorado 80524,9702215000
Montrose High School,"600 S Selig Ave, Montrose, Colorado 81401",9702496636
Movement Baker,"1155 W 5Th Ave, Denver, 80204",7204767800
Movement Boulder,"2845 Valmont Rd, Boulder, Colorado 80301",3034431505
Movement Centennial,"9657 E County Line Rd, Centennial, Colorado 80112",7193875691
Movement Englewood,"1050 W. Hampden Avenue Englewood, Colorado 80110",3032423555
Movement Golden,"700 Golden Ridge Rd., Golden, Co, 80401",3032229564
Movement Rino,"3201 Walnut St, Denver, Colorado 80205",7206673059
Parker Fieldhouse (The Pinnacle),"18700 E. Plaza Drive, Parker, Colorado 80134",3038056300
Peak Fitness,"620 Antero Cir, Buena Vista, Colorado 81211",7193953951
Pure Bouldering,"1401 S 8Th St, Colorado Springs, Colorado 80905",7196335511
REI - Denver,"1416 Platte Street, Denver, Colorado 80202",3037563100
REI - Englewood,"9637 E. County Line Road, Englewood, Colorado 80112",3038581726
REI - Lakewood,"5375 S. Wadsworth Blvd, Denver, Colorado 80123",3039320600
Ridgway Secondary School Climbing Wall,"1200 Green Street Ridgway, Colorado",
Springs Climbing Center,"4642 Northpark Dr. Colorado Springs, Colorado 80918",7192601050
Steamboat Climbing Collective,"2673 Jacob Cir Unit 300, Steamboat Springs, Colorado 80487",9707612496
Summit Climbing Gym,"1291 Blue River Pkwy. Rear, Silverthorne 80498",9703705090
The Gym of the Rockies,"1800 Health Parkway, Fort Collins, Colorado 80524",
The Ice Coop,"2500 47Th St, Boulder, Colorado 80301",3034400414
The Point Athletic,"533 Van Gordon Street, Lakewood, Colorado 80228",3039881300
The Ridge Recreation Center,"6613 S. Ward Street, Littleton, Colorado 80127",3034092333
The Rock Lounge,"111 E 30Th St, Durango, Colorado 81301",9707644505
The Spot - Boulder,"3240 Prairie, Boulder, Colorado",3033798806
The Spot - Denver,"1235 Delaware Street Denver, Colorado 80204",7205423326
The Spot Golden,"1391 Brickyard Road, Golden Colorado 80403",3033175644
The Spot Louisville,"1754 Dogwood Street, Louisville, Colorado 80027",3033173770
The Spot Thornton,"9499 Washington Street (Unit C), Thornton, Colorado 80229",3032544344
Town of Breckenridge Climbing Wall,"150 Ski Hill Road, Breckenridge, Colorado 80424",9704532251
Trails Recreation Center,"16799 E. Lake Ave., Centennial, Colorado 80015",3032698400
Übergrippen Indoor Climbing Crag,"8610 E 21St Ave, Denver, Colorado 80238",7205920716
Übergrippen Indoor Climbing Crag,"3690 Bilberry St, Castle Rock, Colorado 80109",7205920716
UNC Campus Recreation Center,"Greeley, Colorado 80639",9703512062
University of Colorado Climbing Gym,"1835 Pleasant St, Boulder, Colorado 80310",3034926080
Vail Mountain Athletic Club,"352 E. Meadow Dr., Vail, Colorado 81657",9704767960
WECMRD Field House at Edwards,"450 Miller Ranch Road, Edwards, Colorado 81632",9707665555
Western Colorado University,"1 Western Way, Gunnison, Colorado 81231",9709432119
Westminster Climbing Wall,"City Park Recreation Center, 10455 Sheridan Blvd, Westminster, Colorado",3034609690
Wheat Ridge Recreation Center,"4005 Kipling Street, Wheat Ridge, Colorado",3032311300
Whetstone,220 Smokey St Fort Collins Colorado 80525,9707958356
Wooden Mountain,"1503 Taurus Ct. Loveland, Colorado 80537",9704972633
YMCA - Pueblo,"3200 E. Spaulding Avenue Pueblo, Colorado 81008",7195435151
Central Rock Gym (Glastonbury),"259 Eastern Boulevard Glastonbury, Connecticut 06033",8606598260
Central Rock Gym - West Hartford,"99 Shield Street, West Hartford, Connecticut 06110",
City Climb Gym,"342 Science Park, New Haven, Ct, 06511",2038917627
Climb Danbury,"17-27 Starr Road, Danbury, Connecticut 06811",2037437676
Easton Community Center - MT. ECC Indoor Climbing Wall,"364 Sport Hill Rd, Easton, Connecticut 06825",2034599700
Prime Climb,"340 Quinnipiac Street, Silversmith Park, Bldg. #28, Wallingford, Connecticut 06492",2032657880
Rock Climb Fairfield,"85 Mill Plain Road, Fairfield, Connecticut 06824",2034165500
Rock Spot Climbing,"44 Olive St, New Haven, Connecticut 06511",2032654006
Sono Field House,"365 Dr. Martin Luther King Jr. Drive, Norwalk, Connecticut 06854",
Stone Age Rock Gym,"195 Adams St., Manchester, Connecticut 06042",8606450015
The CT Rock Gym,"91 Shelton Avenue, New Haven, Connecticut 06511",2034045166
Jewish Community Center Climbing Wall,"101 Garden Of Eden Road, Wilmington, Delaware 19803",3024785660
RISE Fitness + Adventure,"35770 Airport Rd, Rehoboth Beach, Delaware 19971",3025672112
The Delaware Rock Gym,"520 Carson Dr., Bear, Delaware 19701",3028385850
University of Delaware Climbing Wall,"Carpenter Center, North College Street, Newark, Delaware 19716",3028318600
Adventure HQ,"5270 N Us Hwy 1, Palm Shores, Florida 32940",3217759825
Aiguille Rock Climbing Center,"999 Charles St, Longwood, Florida 32750",4073321430
Alchemy Climbing,"2810 Sharer Rd Tallahassee, Florida 32312",8502247625
Alchemy Climbing,"629 F Industrial Dr, Tallahassee, Florida 32310",8502247625
Beaches Rock Gym,N/A,N/A
Blue Swan Boulders,"400 Pittman St Suite 103, Orlando, Florida 32801",4076010752
Boca Prep International School,"10333 Diego Dr., Boca Raton, Florida",5618521410
Boulder Bloc,"437 E Atlantic Blvd #6, Pompano Beach, Florida 33060, United States",9549538899
Broward College South Campus,"7200 Pines Boulevard, Building 65, Room 154 (Gymnasium), Pembroke Pines, Florida 33024",9542018238
Central Rock Gym - Citrus Park,"6918 Gunn Highway, Tampa, Florida 33625",
Central Rock Gym - Fort Myers,"6090 Exchange Lane, Fort Myers, Florida 33912",
Central Rock Gym - Orlando,"1766 W Sand Lake Rd, Orlando, Florida 32809",
Central Rock Gym - Tampa,"4479 W Gandy Blvd, Tampa, Florida 33611",
Central Rock Gym - Wynwood,"2916 N Miami Ave, Miami, Florida 33127",
Coral Cliffs indoor rock climbing wall,"3400 Southwest 26Th Terrace #A4, Fort Lauderdale, Florida 33312",9543219898
Cornerstone Rock Gym,"6746 Montana Vernon St, Glen St Mary, Florida 32040",9042590011
Daytona Lagoon,"601 Earl St., Daytona Beach Florida 32118",3862545020
DynoClimb,"528 S Woodland Blvd, Deland, Florida 32720",3866247399
Fort Rock Climbing Center,"7131 Alico Rd Ste 130, Ft Myers Florida 33912",2399907430
Hatco International,"11776 W Sample Rd #102, Coral Springs, Florida, 33065, United States",8779842277
On The Edge Rock Climbing Gym,"200 West Drive - Melbourne, Florida 32904",3217248775
Project Rock,"3580 N Andrews Ave, Oakland Park Florida 33309",9547664836
Rec Rock,"Oviedo Gymnasium And Aquatics Center, 148 S. Division Street, Oviedo, Florida 32765",4079715565
Rock Out Climbing Gym,"2001 98 Palms Blvd Ste 5, Destin, Florida 32541",8508370526
Rox Climbing Gym,"6775 Chopra Terrace Orlando, Florida 32827",4072165672
Sheinberg Family YMCA of Weston,"20201 Saddle Club Road, Weston, Florida 33327",9544249622
Stone Climbing,"115 Strongway Court, Saint Augustine, Florida 32086",9042174139
Sun Country Rocks,"333 Sw 140Th Terrace, Gainesville, Florida 32669",3523318773
The Edge Rock Climbing Gym,"13972 Sw 139Th Ct, Miami, Florida 33186",3052336623
The Edge Rock Gym,"3563 Phillips Hwy., Suite 702, Jacksonville, Florida 32207",9046832512
The Knot,"704 S Main St, Gainesville Fl, 32601",3523222402
UCF Recreational Center Rock Tower,"4000 Central Florida Blvd, Orlando, Florida 32816",4078232408
University Climbing Wall,"Florida Atlantic University Av Building - Near Library, 777 Glades Road",
UWF Climbing Center,"11000 University Pkwy., Pensacola, Florida 32514",8504742819
Velocity Climbing,"2280 Nw 41St St, Miami, Florida 33142",7865425005
Vertical Ventures,"116 18Th St S, St.Petersburg, Florida 33712",7273046290
Vertical Ventures: St. Pete,"116 18Th St S, St. Petersburg, Florida 33712",7273046290
Weatherford's Climbing Wall,"3009 E. Cervantes St, Pensacola, Florida 32503",8504332822
Active Climbing,"665 Barber Street, Athens, Georgia 30601",7063540038
Active Climbing,"643 S. Old Belair Rd, Grovetown, Ga",7069221054
Adrenaline Climbing,"460 Brogdon Road, Suite 100, Suwanee, Georgia 30024",7702711390
Camp Coleman Climbing Wall,"201 Camp Coleman Dr., Cleveland, Georgia 30528",7068654111
Centennial Place YMCA,"555 Luckie Street, Atlanta, Georgia 30313",4047249622
Corkan Family Recreation Exteme Climbing Room,"440 Lindquist Road, Fort Stewart, Georgia",9127679884
Ed Isakson YMCA,"3655 Preston Ridge Rd, Alpharetta, Georgia 30005",7706641220
